,A1,A2,A3,A7,A8,A9,A4,A5,A6,A10,A11,A12,B1,B2,B3,B4,B5,B6,B7,B8,B9
1270,427,351,354,2682,2469,2448,36,38,33,5721,5546,5546,404,378,285,5195,5195,4161,2292,2314,2314
1301,380,359,299,2584,2593,2519,33,45,31,5691,5538,5538,433,388,268,5142,5142,3994,2319,2430,2430
1332,394,353,317,2654,2543,2445,54,45,24,5887,5594,5594,437,407,283,4894,4894,3964,2343,2514,2514
1363,382,337,308,2649,2569,2468,39,46,29,5823,5673,5673,447,371,296,5049,5049,3946,2331,2517,2517
1394,395,325,317,2785,2615,2502,35,34,26,5908,5644,5644,409,396,279,4828,4828,3933,2375,2487,2487
1425,372,328,280,2670,2639,2543,45,41,25,5902,5780,5780,411,369,295,4998,4998,3776,2400,2412,2412
1456,367,337,298,2701,2738,2613,37,33,31,5977,5782,5782,415,388,263,4964,4964,3867,2463,2588,2588
1487,340,310,277,2743,2720,2573,32,31,24,6160,5870,5870,436,387,299,4814,4814,3718,2399,2509,2509
1518,363,326,305,2759,2707,2591,32,37,25,6069,5924,5924,462,397,307,4801,4801,3827,2490,2520,2520
1549,331,327,273,2822,2723,2676,41,34,27,6298,5999,5999,447,404,306,4851,4851,3650,2414,2539,2539
1580,342,309,268,2821,2678,2646,41,31,23,6280,6017,6017,448,410,280,4750,4750,3713,2457,2598,2598
1611,346,333,260,2889,2684,2675,32,29,16,6249,6043,6043,486,430,304,4679,4679,3630,2470,2667,2667
1642,326,284,263,2889,2809,2772,33,36,26,6359,6129,6129,449,414,282,4674,4674,3690,2552,2676,2676
1673,348,283,253,3001,2831,2638,31,25,21,6310,6080,6080,456,409,304,4629,4629,3527,2540,2658,2658
1704,290,275,240,3012,2846,2694,50,20,24,6316,6241,6241,479,418,305,4625,4625,3531,2548,2628,2628
1735,310,266,257,2955,2784,2792,29,33,15,6424,6219,6219,464,427,301,4549,4549,3505,2587,2714,2714
1766,313,265,272,2941,2877,2808,40,33,25,6493,6226,6226,447,431,311,4574,4574,3378,2615,2697,2697
1797,310,284,247,2980,2900,2747,31,31,22,6517,6383,6383,479,400,289,4516,4516,3440,2579,2695,2695
1828,304,265,249,3054,2930,2993,37,29,24,6557,6465,6465,472,461,295,4447,4447,3421,2582,2834,2834
1859,292,268,232,2923,2882,2900,37,29,23,6618,6417,6417,489,397,291,4479,4479,3283,2729,2771,2771
1890,296,256,236,3065,3027,3017,39,28,19,6679,6528,6528,512,431,337,4401,4401,3277,2652,2741,2741
1921,317,249,236,3126,3006,2889,37,20,24,6592,6604,6604,445,431,305,4422,4422,3265,2680,2678,2678
1952,273,265,233,3127,2978,2938,40,32,20,6749,6563,6563,485,424,327,4412,4412,3207,2716,2843,2843
1983,274,214,219,3115,3084,2830,34,34,22,6688,6605,6605,517,422,310,4306,4306,3222,2693,2845,2845
2014,264,260,241,3157,3082,2898,30,22,26,6800,6548,6548,471,416,312,4301,4301,3228,2667,2843,2843
