,A1,A2,A3,A7,A8,A9,A4,A5,A6,A10,A11,A12,B1,B2,B3,B4,B5,B6,B7,B8,B9
3285,5052,4803,4888,21669,21759,20514,727,689,678,1188,1186,1180,59279,57216,56274,28944,27180,25936,61700,59561,57097
3316,5034,4744,4856,21709,21847,20670,714,680,663,1177,1131,1198,59749,57158,55999,28644,26768,26039,62081,60247,58071
3347,5014,4794,4970,22087,22261,20475,699,664,695,1244,1165,1136,59631,58208,57039,28710,26919,25919,62276,60201,57593
3378,5091,4915,4936,22219,22162,20781,708,690,708,1230,1167,1141,60132,58330,56499,28433,26987,25484,63191,60513,58263
3409,5103,4885,4964,22202,22161,20878,721,673,745,1259,1089,1212,60616,58545,57079,28334,26742,25662,63199,61092,58424
3440,5242,4909,4966,22359,22636,20912,729,667,712,1206,1157,1242,61053,59066,57169,28375,26419,25321,63283,61214,59058
3471,5191,4976,5061,22627,22429,20973,770,695,769,1230,1196,1173,61392,58740,58018,27972,26234,25364,63871,61703,58939
3502,5120,4994,5089,22439,22614,21148,756,677,703,1247,1208,1207,61725,59231,58453,28065,26151,25148,63564,61858,59382
3533,5349,4957,5067,22594,22876,21337,771,727,740,1233,1227,1222,62001,59549,58381,28048,26104,24933,64421,62225,59680
3564,5282,5000,5101,22663,22750,21522,746,705,735,1247,1260,1209,62458,59855,58619,27783,26134,25042,64951,62924,60075
3595,5312,4933,5146,22556,23063,21413,758,705,702,1254,1226,1196,62391,59853,58738,27846,25921,24964,65149,62941,60530
3626,5336,5016,5201,22961,22965,21673,776,683,729,1216,1199,1233,62661,60706,59199,27612,25864,24966,65351,63215,60806
3657,5309,5044,5133,23107,23072,21734,815,713,703,1245,1220,1272,62936,60458,59575,27540,25684,24731,65542,63443,61266
3688,5417,4996,5161,23430,23088,21811,737,687,742,1235,1197,1243,63499,61078,59564,27197,25517,24438,65749,64252,60695
