,A1,A2,A3,A7,A8,A9,A4,A5,A6,A10,A11,A12,B1,B2,B3,B4,B5,B6,B7,B8,B9
6292,10480,10283,10338,6981,6748,6776,989,989,1005,205,198,179,502,458,459,3908,3986,3941,16261,15953,15387
6323,10350,10110,10423,7149,6688,6828,987,1000,997,191,192,173,472,454,475,3783,4049,3916,16422,15987,15435
6354,10468,10307,10345,6974,6827,6767,1001,987,1002,186,202,193,492,471,460,3962,4033,3949,16296,16287,15556
6385,10360,10277,10419,7033,6795,6910,990,986,997,170,184,175,505,492,490,3882,3927,3903,16374,16312,15554
6416,10388,10406,10411,6861,6848,6964,979,962,1018,195,221,175,493,492,500,3851,3990,3906,16535,16277,15492
6447,10543,10322,10463,7163,6792,6805,972,970,1035,177,201,193,469,498,485,3929,3990,3877,16633,16282,15593
6478,10442,10314,10399,7085,6873,6834,993,959,1064,188,159,204,515,513,519,3826,4042,4051,16618,16422,15507
6509,10446,10402,10416,7035,6880,6767,1095,958,1052,180,207,186,469,521,505,3897,4106,3950,16490,16469,15680
6540,10485,10351,10422,7117,6874,6922,990,955,995,170,185,174,458,498,491,3807,4023,4031,16644,16407,15649
6571,10519,10287,10592,7084,6805,6874,981,986,1033,183,186,170,492,466,509,3977,4209,4098,16542,16269,15539
6602,10597,10472,10449,6993,6923,7064,1016,932,1006,202,186,189,505,471,495,3930,3973,3992,16539,16603,15686
6633,10741,10540,10561,7069,6975,6916,1031,961,1028,196,186,183,531,479,456,3957,4184,4003,16766,16634,15792
6664,10662,10551,10500,7188,6820,6980,1014,995,1031,201,181,166,512,516,505,3971,4055,4111,16674,16533,15764
6695,10811,10587,10585,7059,6808,6938,1025,977,1095,198,184,183,499,486,508,4062,4082,3968,16811,16551,15795
6726,10621,10445,10644,7233,6904,7049,1042,1021,1065,197,198,195,492,493,490,3919,4134,4039,16696,16699,15842
6757,10726,10529,10455,7173,6880,7003,1055,966,1055,200,187,172,498,492,540,4026,4142,4041,16857,16485,15935
6788,10671,10633,10616,7378,6933,7097,1036,1006,1032,198,194,185,526,516,476,3855,4185,4015,17080,16585,15874
6819,10738,10650,10837,7240,6949,7183,1056,994,1038,170,203,168,517,500,498,4090,4041,4051,16905,16647,15900
6850,10771,10502,10669,7303,7010,7175,1021,998,1054,217,185,188,509,502,486,3988,4136,4111,16891,16896,15919
6881,10717,10568,10768,7282,7047,7086,1051,929,1065,208,190,188,496,487,472,4086,4212,4081,17041,16638,16059
6912,10777,10637,10551,7306,7071,7104,1029,991,1063,178,186,162,488,515,509,3954,4064,3995,17130,16949,16067
6943,10909,10735,10796,7313,7106,7033,1004,1012,1070,181,181,191,474,478,491,3995,4193,4068,17020,16772,15927
6974,10953,10731,10959,7293,7133,7035,1091,995,1099,173,194,183,530,513,507,4070,4149,4133,16918,16743,16176
7005,11003,10773,10878,7230,6961,7066,1095,1036,1076,204,202,194,505,482,497,4095,4208,4165,16935,16823,16008
7036,11042,10709,10722,7331,7094,7214,1028,1065,1089,204,186,173,490,512,479,4034,4244,4122,17085,16792,16031
7067,10849,10828,10860,7272,7041,7134,1031,1036,1042,186,190,193,511,524,479,4048,4248,4194,16970,16965,16237
7098,11066,10786,10788,7250,6931,7209,1035,991,1069,185,208,174,514,511,473,4069,4246,4127,17052,16765,16006
7129,11064,10699,10852,7333,7143,7136,1088,1078,1052,184,219,187,502,490,477,4136,4241,4145,17194,16820,16424
7160,10981,10890,10986,7332,7208,7186,1036,1016,1057,190,176,198,528,476,496,4080,4207,4193,17143,16999,16260
7191,10976,10777,10905,7344,7145,7322,1064,1055,1051,214,200,166,509,464,483,4093,4304,4140,17257,16868,16233
7222,10983,10878,10923,7219,7175,7327,1073,997,1032,193,199,208,528,536,492,4200,4225,4123,17285,17018,16091
7253,11039,10871,10930,7337,7113,7167,1021,1018,1029,200,190,217,557,479,505,4123,4303,4112,17109,17128,16405
7284,11038,10898,11067,7413,7178,7236,1059,1023,1038,195,187,186,507,504,486,4071,4272,4153,17162,17268,16311
7315,11088,10961,11002,7313,7103,7212,1080,1012,1065,200,195,164,500,479,519,4055,4172,4164,17338,17048,16248
7346,11164,10760,11030,7323,7218,7249,1040,1018,1067,183,212,179,528,508,497,4003,4223,4177,17300,17084,16489
7377,11127,10989,10911,7389,7108,7392,1082,1025,1109,194,195,193,498,479,509,4119,4213,4234,17317,17077,16262
7408,11178,11008,11121,7313,7119,7324,1063,1037,1101,209,208,200,521,506,483,4031,4356,4255,17417,17334,16303
7439,11180,10965,11053,7421,7203,7233,1068,1008,1078,194,189,194,528,481,540,4134,4276,4155,17721,17164,16476
7470,11120,10812,11067,7457,7309,7225,1058,1023,1075,182,196,194,470,498,543,4235,4260,4203,17417,17115,16406
7501,11227,10884,11194,7592,7196,7317,1062,1125,1102,183,185,190,526,532,484,4167,4295,4276,17285,17287,16231
