,A1,A2,A3,A7,A8,A9,A4,A5,A6,A10,A11,A12,B1,B2,B3,B4,B5,B6,B7,B8,B9
7563,388,419,456,1476,1440,1710,116,122,90,52,47,49,393,655,573,58639,56074,58497,1096,845,874
7594,382,396,431,1452,1389,1721,127,96,101,52,50,42,429,658,575,58543,55960,58281,1125,803,915
7625,380,417,437,1505,1410,1774,130,117,91,48,44,41,403,686,557,58557,55906,58425,1175,842,868
7656,369,431,500,1453,1376,1710,136,117,88,48,60,45,433,720,579,58630,55936,58758,1133,804,887
7687,354,393,483,1493,1418,1716,135,116,105,48,39,55,392,682,574,58441,55863,58846,1167,812,895
7718,369,384,461,1582,1406,1711,136,109,102,52,44,49,405,689,557,58616,56211,58762,1188,818,858
7749,402,429,464,1504,1437,1740,134,100,87,48,45,61,426,689,598,59045,56084,58732,1156,842,850
7780,368,433,459,1472,1431,1684,137,101,81,56,45,48,397,689,552,58544,56187,58584,1188,851,883
7811,403,418,458,1463,1388,1694,132,108,79,40,49,43,425,720,576,58330,56308,58684,1082,777,926
7842,395,369,475,1490,1434,1694,124,106,76,44,40,49,411,712,589,58501,56310,58863,1214,813,911
7873,373,403,438,1469,1442,1713,135,111,80,49,45,48,399,665,578,58677,56225,58888,1157,816,848
7904,369,407,463,1482,1467,1717,139,107,98,55,49,47,429,697,593,58774,56319,58668,1139,830,890
7935,421,378,433,1482,1499,1692,125,116,94,57,37,47,422,699,572,58954,56224,59018,1148,821,885
7966,396,413,471,1420,1449,1767,140,113,86,36,52,43,436,694,541,58495,55871,58767,1158,839,862
7997,401,423,471,1493,1433,1746,143,112,94,48,39,60,412,696,587,58860,55986,58471,1186,771,872
8028,395,403,458,1531,1467,1684,125,124,93,44,41,48,417,657,572,58809,55982,58833,1208,834,898
8059,382,411,442,1497,1413,1731,139,104,96,54,43,41,428,697,568,58648,56252,58836,1189,832,901
8090,368,381,471,1471,1446,1769,137,100,98,50,42,38,418,744,573,58875,56021,58706,1113,795,904
8121,382,423,517,1514,1460,1727,134,142,95,38,38,50,450,705,585,58873,56405,58507,1180,841,896
8152,411,395,462,1447,1417,1702,127,106,90,35,34,52,418,726,588,58888,56286,58631,1185,852,917
8183,390,416,500,1505,1437,1755,134,130,94,45,48,50,414,701,601,58373,56314,58820,1233,794,952
8214,356,394,487,1469,1446,1749,130,111,96,47,55,55,430,709,598,59223,56705,58869,1212,828,919
8245,373,401,481,1496,1476,1719,107,109,94,57,41,54,401,698,603,58938,56474,59154,1188,857,859
8276,401,399,470,1488,1459,1725,134,109,103,54,49,48,423,650,567,58940,56318,58753,1167,832,847
8307,359,419,479,1543,1425,1728,109,111,91,52,41,52,444,715,583,58882,56343,58700,1184,903,928
8338,382,410,479,1558,1411,1732,142,113,96,59,49,45,443,682,631,58901,56459,58721,1138,809,906
8369,384,432,485,1497,1399,1729,136,109,82,48,48,50,382,692,575,58965,56275,59162,1143,822,866
8400,409,390,447,1475,1425,1725,128,113,88,40,46,56,443,709,609,59331,56558,58908,1162,829,900
8431,387,415,455,1601,1461,1774,127,120,82,37,45,56,452,728,615,58865,56577,58972,1160,807,919
8462,395,427,452,1520,1432,1749,152,115,92,54,45,57,447,710,581,58736,56227,59111,1184,851,923
8493,388,420,443,1501,1476,1685,137,144,94,53,48,48,407,709,610,58818,56357,58846,1204,860,908
8524,354,419,473,1492,1452,1770,124,125,93,45,53,43,480,686,611,58734,56489,59113,1246,816,891
8555,391,407,460,1431,1435,1780,138,131,104,48,37,50,399,729,573,58776,56558,59201,1237,835,938
8586,389,426,450,1537,1431,1750,128,125,88,45,39,41,445,713,557,58796,56613,58832,1182,852,863
8617,410,396,457,1519,1462,1778,134,116,86,48,45,49,447,709,582,59130,56257,58640,1172,826,909
8648,407,392,450,1552,1441,1753,143,114,92,45,54,56,446,677,599,58869,56368,58967,1196,817,914
8679,386,426,467,1504,1425,1772,115,119,92,49,43,37,407,700,576,59152,56212,59059,1211,824,905
8710,388,406,452,1543,1482,1769,153,121,77,50,40,59,434,710,592,59017,56305,58853,1223,805,900
8741,388,418,455,1575,1467,1788,133,123,92,55,45,48,429,679,629,58952,56425,58846,1133,839,905
8772,400,412,471,1533,1497,1782,140,126,79,46,36,61,419,722,590,59100,56378,59205,1220,871,945
8803,415,392,464,1572,1446,1761,135,121,115,52,43,54,433,683,600,58743,56183,58960,1236,849,907
8834,385,408,452,1532,1449,1731,120,128,94,55,46,55,437,693,577,59152,56226,58848,1129,856,956
8865,380,445,496,1536,1450,1742,128,107,94,43,55,56,464,735,611,58939,56554,58929,1192,813,909
8896,381,384,495,1549,1462,1682,125,116,100,53,43,44,451,686,588,58796,56508,59271,1203,884,894
8927,384,397,524,1516,1450,1782,134,104,96,53,42,46,417,683,623,58843,55913,58591,1215,810,919
8958,387,420,465,1518,1457,1784,140,105,99,49,44,48,446,718,589,58706,56594,59033,1224,859,954
8989,388,417,458,1553,1506,1793,126,121,95,55,39,48,443,732,589,58763,56307,58719,1146,878,884
9020,387,439,473,1548,1468,1810,141,109,98,42,42,50,452,701,577,58915,56210,58853,1264,859,951
9051,388,411,495,1554,1488,1805,138,123,89,44,38,41,421,681,601,59133,56204,59270,1249,835,913
9082,383,405,471,1480,1445,1799,143,111,91,55,36,52,416,750,608,59190,56311,59072,1197,839,961
9113,371,398,478,1578,1458,1763,134,115,84,51,48,47,432,704,595,58933,56522,58655,1237,857,922
9144,373,409,505,1530,1550,1774,138,113,104,48,49,42,473,712,583,58824,56367,58951,1228,849,908
9175,375,405,468,1545,1440,1780,135,117,93,47,47,56,443,705,584,58989,56651,59186,1217,845,907
9206,380,420,445,1525,1452,1717,140,128,94,49,40,45,443,727,591,59147,56396,58612,1200,852,881
9237,355,413,446,1556,1486,1799,142,133,96,44,43,50,431,660,606,58701,56237,59059,1275,864,888
9268,359,426,439,1511,1532,1734,132,113,93,54,36,48,428,714,553,59055,56173,58948,1245,860,928
9299,396,416,440,1550,1474,1784,139,120,84,46,45,52,454,699,610,59098,56508,58829,1177,818,921
9330,371,390,473,1607,1496,1807,132,118,92,42,37,37,471,752,604,58895,56384,59120,1154,828,904
9361,397,399,511,1493,1448,1773,125,126,92,48,42,44,464,736,595,58748,56132,59038,1221,873,924
9392,382,423,445,1527,1507,1810,134,98,104,43,41,48,474,722,591,58897,56265,58821,1152,875,936
9423,399,383,481,1543,1468,1806,151,137,106,50,45,56,435,753,606,59009,56021,58828,1209,822,923
9454,396,423,454,1643,1477,1811,149,117,97,48,47,58,430,707,618,58718,56406,59333,1226,858,915
