,A1,A2,A3,A7,A8,A9,A4,A5,A6,A10,A11,A12,B1,B2,B3,B4,B5,B6,B7,B8,B9
2882,256885,261569,242333,1411432,1255027,1144716,96094,93973,93332,25123,23741,21560,218986,228090,218700,975288,1046369,1014391,1058636,1042294,994872
2913,257886,262114,244256,1414234,1258924,1148111,96541,93789,93388,25104,23867,21918,218381,228225,218690,976532,1048921,1016209,1062136,1044176,994388
2944,260011,263524,245473,1416786,1262580,1152361,96092,94163,93095,25466,23734,21883,218288,226395,217633,979027,1050077,1017000,1061650,1044529,995101
2975,261248,266165,246589,1417771,1262350,1152889,96684,93793,93245,25507,24093,21807,217461,226637,217690,978071,1052053,1018428,1062696,1046651,996312
3006,262279,267046,248623,1421271,1266634,1157328,96537,93787,93235,25447,24365,22251,216843,226087,217264,980750,1053452,1017517,1063775,1046774,998010
3037,264228,269010,250771,1426712,1269701,1158091,96791,93524,93074,25845,24095,21971,216419,225425,216475,982428,1054473,1020619,1065967,1048632,999048
3068,266039,270459,252023,1428963,1272753,1160145,96656,93303,92611,25928,24408,22285,216775,224150,215970,982832,1055902,1024169,1064361,1047772,998466
3099,267250,273604,252458,1429339,1275148,1163340,96750,93894,92791,25935,24472,22475,215309,223665,215196,982323,1057365,1023646,1063875,1048395,1000290
3130,268895,273336,254757,1429741,1278843,1163880,96409,93268,92566,26148,24605,22635,214385,223065,215001,983236,1056512,1024060,1063769,1047004,1001001
3161,270422,275811,255272,1434085,1278709,1166382,96293,93220,92593,26221,24875,22406,214097,222407,214060,983022,1057808,1024447,1064803,1048649,1003134
3192,272415,276994,257222,1434361,1281621,1168133,96068,92717,92094,26421,24759,22631,212642,222033,213163,984973,1059334,1026119,1064188,1049348,1002471
3223,273327,278792,258475,1437849,1283874,1170738,96133,93294,92631,26547,25128,22856,212178,221718,213709,984533,1058500,1026083,1065405,1047993,1001464
3254,275510,279508,260925,1440450,1285135,1170640,96570,92883,92258,26965,25254,23034,212038,220763,213056,985243,1059318,1028388,1066761,1048451,1004827
3285,276878,281245,261729,1441958,1287265,1173657,95973,92704,91902,26396,25348,22952,210121,219953,211584,985532,1059949,1028779,1067170,1047232,1002804
3316,277482,283458,262122,1444170,1287302,1173925,95987,92802,92357,26931,25184,23198,210117,219138,211301,984872,1060502,1029514,1066502,1046551,1002709
3347,279678,284600,263549,1443071,1288521,1176942,95788,92369,91582,26984,25445,23326,210334,218557,210448,987322,1060475,1029496,1065080,1046375,1001456
3378,280551,286023,265734,1444436,1292694,1176538,95533,91922,91718,27242,25687,23381,208545,217898,209764,986933,1061094,1030300,1065525,1047125,1002192
3409,281002,286871,266890,1446088,1291067,1177636,95964,91823,91796,27210,25794,23460,208318,217047,209105,988235,1062265,1029872,1064948,1044366,1001166
3440,283029,288722,268205,1447848,1290176,1179043,95436,92297,91875,27303,25708,23600,207058,216324,208462,985538,1061212,1031144,1063760,1045503,1000604
3471,284764,290174,268389,1448063,1293802,1179111,94919,91660,91313,27524,26044,23702,206310,215621,208566,985668,1059258,1030356,1063313,1044901,1002691
3502,286265,290379,270429,1450037,1296777,1179598,95687,91913,91219,27556,26247,23681,206333,214750,207184,985374,1060912,1029953,1061456,1042689,1000343
3533,287660,292397,271711,1449673,1294136,1182395,94867,91336,90699,27675,26060,23524,205226,213882,206103,985718,1060295,1030053,1060844,1042451,1000166
3564,288520,294023,273091,1449700,1295584,1182490,94630,91144,90879,27800,26374,23906,204590,213011,205373,986184,1061152,1029846,1059102,1042729,999841
3595,289412,295068,274364,1450686,1295208,1183296,94295,90733,90767,27766,26604,24224,203143,212744,205221,983930,1059594,1029892,1059618,1039873,997674
3626,291254,297102,274610,1451316,1296455,1182515,94616,90427,90529,28010,26521,24261,201952,212185,203860,983237,1059945,1030444,1059741,1039561,997253
3657,292028,298298,276672,1450759,1296624,1182416,94010,90371,90050,28065,26695,24286,201479,210462,203506,985067,1058607,1028310,1055600,1037722,996166
3688,293285,298945,277097,1451708,1297131,1182652,94151,90205,89735,28238,26965,24259,200936,210165,202590,985906,1057135,1029641,1055833,1036377,995104
3719,294942,300685,279619,1451415,1297881,1181605,93496,89879,89939,28249,27167,24669,199851,208250,201825,984551,1059319,1027325,1054122,1035186,994968
3750,295949,302537,279948,1452695,1297418,1185108,93633,90069,89569,28314,26900,24629,198917,208648,201011,983345,1058439,1027377,1052526,1033857,993825
3781,296988,302150,281319,1452520,1297851,1184236,93378,89502,89296,28680,27017,24877,198136,207262,199607,981405,1055979,1027975,1052116,1033773,991588
3812,297708,303783,282467,1453221,1298329,1184078,93092,89141,88815,28665,27386,25007,197223,206041,199181,981369,1056813,1026916,1048891,1032778,992002
3843,299797,304943,283211,1453428,1297851,1181938,93021,88923,88414,29159,27158,24940,196142,205611,198370,979670,1054242,1025466,1048083,1030008,989570
3874,300177,306580,284082,1449612,1297546,1181679,92857,88982,88473,28816,27322,24973,195918,204396,197956,978574,1054457,1026595,1046455,1027385,988225
3905,300921,306963,285565,1450216,1296378,1182358,92875,88344,88192,29163,27159,25154,194759,203849,196123,977391,1054730,1023612,1043687,1026505,989114
3936,302901,308508,286386,1448700,1297183,1182480,92265,88524,88137,29212,27639,25070,193887,202960,196342,977416,1052524,1024004,1042001,1025229,986413
3967,303861,310096,286837,1447846,1295776,1182099,91316,87894,88006,29065,27520,25067,193356,202409,195492,976633,1051018,1021176,1040613,1021575,984186
3998,305905,311391,289116,1447087,1292709,1180311,91762,88203,87043,29399,27657,25237,192756,200676,193892,976030,1050538,1021248,1040493,1020119,982894
4029,305902,312879,289635,1447205,1293500,1178206,91597,87488,87021,29442,28004,25253,191449,199716,193200,974962,1046359,1019546,1036595,1019316,979472
4060,306466,313159,289886,1446001,1292653,1179793,91104,87498,87013,29420,27618,25517,190558,198921,192335,971800,1046542,1019657,1034295,1016957,982143
4091,307579,314201,291182,1444245,1291526,1179053,91358,87407,86985,29844,28134,25269,189806,197775,191922,971182,1045051,1019221,1033800,1014313,979152
4122,309193,315187,292990,1443399,1292544,1178312,90573,86356,86463,29719,28346,25627,188123,197337,190945,972114,1044491,1017368,1031910,1012988,975691
4153,310624,316698,293199,1442639,1289492,1177712,90541,86732,85911,30015,28355,25558,187674,196429,190223,970048,1044265,1015516,1026683,1010433,975316
4184,311002,317040,295006,1442565,1291328,1177000,89752,86091,85504,29825,28412,25777,186849,195967,189700,968621,1042517,1014687,1026758,1010107,973803
4215,312591,318667,295331,1441336,1289360,1175513,89834,86044,85033,30097,28270,25905,185946,194691,188708,966553,1041112,1014346,1024982,1007496,971652
4246,312982,320060,296779,1439298,1288951,1175248,89399,85607,84959,30060,28527,26013,184890,193682,187418,965970,1038600,1012472,1022024,1004340,970774
4277,314251,319854,297009,1435683,1286779,1173493,88900,85480,84901,30253,28644,25847,184446,191494,187024,963521,1036154,1011658,1020484,1000608,968080
4308,315158,321699,298649,1435504,1286546,1172153,88806,84979,84447,30329,28831,25822,183690,191297,185942,962233,1035202,1011076,1015441,999251,965348
4339,315734,322654,299546,1435725,1285622,1171152,88907,84777,84173,30709,28674,26283,182187,191832,185113,960469,1034262,1008833,1014871,998314,963002
4370,316995,323739,300050,1432338,1283096,1169834,88732,84184,83817,30501,28684,26347,181439,190547,184235,960426,1032562,1005280,1011578,995254,960104
4401,318353,324760,301959,1432493,1282605,1167778,87591,84006,83533,30421,28826,26392,180855,189002,184193,957016,1030211,1004833,1010076,991910,958217
