,A1,A2,A3,A7,A8,A9,A4,A5,A6,A10,A11,A12,B1,B2,B3,B4,B5,B6,B7,B8,B9
4122,986,928,871,13901,13135,12365,2993,2934,2944,302,322,267,105,95,96,2727,2327,2297,17342,18096,13592
4153,968,909,890,14149,13200,12427,3047,2936,2913,280,318,312,109,96,98,2710,2326,2244,17470,18062,13558
4184,1025,946,931,14220,13316,12630,3095,2918,2902,303,326,280,96,93,113,2677,2369,2248,17553,17941,13600
4215,1017,976,884,14216,13320,12624,3134,2954,2952,314,310,276,110,118,107,2793,2404,2248,17463,18279,13878
4246,980,932,854,14396,13377,12609,3001,3065,2942,286,294,280,107,99,113,2690,2373,2296,17531,18408,13712
4277,1013,875,864,14481,13295,12706,3063,3065,2916,329,314,289,79,94,98,2705,2364,2268,17570,18273,13971
4308,954,962,934,14408,13419,12557,3087,2991,2985,318,289,294,116,95,103,2802,2391,2297,17742,18550,13931
4339,1034,894,931,14313,13406,12741,3054,3037,2976,304,308,303,113,97,118,2724,2401,2328,17916,18619,13994
4370,1052,953,875,14769,13487,12776,3183,3004,2900,301,278,293,110,109,98,2769,2402,2312,17892,18657,13825
4401,1043,986,921,14350,13749,12683,3087,3107,2944,312,293,326,107,77,107,2735,2397,2341,18152,18774,13981
4432,984,975,894,14553,13704,12917,3103,3069,3014,316,322,293,107,106,132,2732,2446,2341,17994,18983,14158
4463,1069,961,938,14585,13676,12784,3217,3142,2989,333,314,259,102,94,113,2806,2449,2372,18120,18937,14312
4494,1080,1014,928,14813,13737,12827,3116,2931,2929,329,322,275,111,102,110,2800,2477,2343,18246,19100,14308
4525,1047,966,928,14890,13691,13082,3141,3060,2921,327,311,257,106,86,110,2813,2465,2325,18220,18973,14308
4556,1049,966,941,14877,13846,12913,3127,3052,2947,338,292,289,102,111,120,2851,2433,2319,18264,19226,14385
4587,1026,990,936,14898,13884,12904,3103,3187,2968,325,300,306,108,98,116,2857,2457,2342,18546,19204,14397
4618,1050,990,938,15085,14001,13144,3105,3069,3135,301,287,289,113,106,125,2843,2559,2384,18290,19511,14572
4649,961,972,890,14887,13834,13180,3188,3112,3094,312,311,285,102,101,98,2759,2491,2358,18492,19496,14703
4680,1040,989,965,15282,14033,13147,3175,3152,3014,335,330,308,120,113,122,2786,2451,2345,18313,19364,14463
4711,1069,1026,949,15063,14089,13253,3272,3170,3077,335,336,318,103,93,117,2846,2434,2388,18487,19555,14585
4742,1023,1007,957,15148,14204,13366,3228,3145,3063,350,289,285,117,106,105,2885,2534,2459,18388,19584,14431
