,A1,A2,A3,A7,A8,A9,A4,A5,A6,A10,A11,A12,B1,B2,B3,B4,B5,B6,B7,B8,B9
5951,265,256,862,245737,241135,233583,612,220,179,45,46,43,212,208,287,1143,1283,1106,5752,7027,8789
5982,242,255,872,245860,242082,234424,625,208,180,41,39,40,187,227,280,1048,1192,1128,5607,7043,8922
6013,223,237,889,247049,242002,234108,659,196,191,40,44,54,206,224,285,1086,1219,1088,5694,7065,8948
6044,272,236,869,246956,242704,234766,621,223,186,45,39,43,210,219,284,1176,1192,1088,5671,7128,8916
6075,252,258,912,247776,242524,234635,617,202,198,41,43,45,204,217,266,1157,1186,1098,5773,7123,8798
6106,242,274,917,248009,242941,235977,653,194,182,37,52,55,247,227,272,1148,1152,1169,5764,7143,8963
6137,236,245,862,248064,243360,235976,608,211,184,44,38,57,210,217,263,1133,1207,1167,5781,7099,9020
6168,236,256,919,249603,243554,236303,626,204,197,48,45,48,221,227,296,1089,1177,1093,5759,7156,8930
6199,235,238,896,248912,243818,236788,628,225,204,43,49,50,210,205,274,1110,1152,1116,5845,7108,9145
6230,259,240,907,249281,243996,236564,623,214,189,43,51,44,205,219,279,1173,1203,1079,5771,7020,8893
6261,249,251,871,250026,244619,236843,659,208,184,40,41,48,204,206,275,1099,1188,1106,5739,7105,9146
6292,268,226,890,249796,245486,237332,636,227,203,56,46,47,236,218,285,1169,1226,1177,5853,7243,9221
6323,249,261,881,250527,245846,237576,644,188,178,36,36,43,217,214,240,1150,1211,1169,5870,7164,9076
6354,247,251,884,250631,245878,237938,642,200,186,43,41,39,190,220,262,1166,1143,1177,5775,7319,9113
6385,227,227,940,251405,245483,238095,661,208,183,37,44,42,211,224,269,1172,1209,1136,5889,7232,9159
6416,248,259,889,252077,246147,238929,612,193,198,42,50,42,201,226,284,1164,1213,1149,5839,7178,9092
6447,280,238,885,252619,246941,238954,644,218,177,48,39,53,213,229,279,1169,1237,1158,5857,7261,9016
6478,243,248,893,251895,247027,238791,646,211,199,39,46,46,208,197,279,1181,1234,1138,5925,7368,9229
6509,261,244,843,252400,246872,238280,646,191,187,42,56,56,226,227,266,1201,1232,1151,6002,7234,9256
6540,271,257,891,252232,247713,240009,659,204,186,44,48,51,207,219,274,1182,1197,1186,5873,7314,9322
6571,253,257,835,253306,247991,240480,653,215,204,39,36,45,221,219,273,1146,1213,1186,5980,7357,9130
6602,251,269,881,253404,247016,240597,627,218,205,39,49,51,206,215,286,1162,1277,1160,5907,7516,9408
6633,239,267,878,254227,248168,240321,587,210,189,39,45,47,204,231,272,1148,1243,1171,6066,7298,9295
6664,255,265,859,253795,248524,240982,613,219,196,41,46,35,206,218,274,1097,1258,1201,5844,7253,9342
6695,244,254,911,254932,248637,241095,655,204,187,36,56,43,213,230,293,1156,1240,1153,5982,7449,9299
6726,253,240,896,254993,249289,241016,657,200,197,51,40,45,209,202,289,1161,1239,1159,5988,7364,9259
